STRUCTURE,STRUCTURE_ID,ACTION,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2007-Q1,2144966.9
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2007-Q2,2174167.9
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2007-Q3,2195002.2
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2007-Q4,2215597.8
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2008-Q1,2248074.8
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2008-Q2,2250407.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2008-Q3,2268275.2
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2008-Q4,2255617.2
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2009-Q1,2223379.9
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2009-Q2,2234819.7
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2009-Q3,2247850.5
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2009-Q4,2276714.8
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2010-Q1,2292223.4
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2010-Q2,2317623.8
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2010-Q3,2344513.1
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2010-Q4,2375785.7
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2011-Q1,2430616.1
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2011-Q2,2445051.9
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2011-Q3,2460701.7
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2011-Q4,2462008.5
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2012-Q1,2455620.3
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2012-Q2,2450076.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2012-Q3,2477908.6
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2012-Q4,2509658.1
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2013-Q1,2559495.5
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2013-Q2,2613572.3
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2013-Q3,2631334.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2013-Q4,2660435.3
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2014-Q1,2655891.1
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2014-Q2,2665596.5
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2014-Q3,2685238.3
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2014-Q4,2674644.7
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2015-Q1,2684977.1
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2015-Q2,2706904.9
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2015-Q3,2736609.5
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2015-Q4,2767569.6
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2016-Q1,2809815.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2016-Q2,2846772.7
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2016-Q3,2873382.4
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2016-Q4,2909962.3
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2017-Q1,2937668.3
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2017-Q2,2962169.8
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2017-Q3,2992653.4
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2017-Q4,3024912.8
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2018-Q1,3036371.8
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2018-Q2,3078363.5
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2018-Q3,3134817.8
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2018-Q4,3221605.5
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2019-Q1,3327470.1
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2019-Q2,3427846.4
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2019-Q3,3500482.1
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2019-Q4,3549882.4
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2020-Q1,3428224.4
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2020-Q2,3002584.0
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2020-Q3,3491021.8
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2020-Q4,3464185.9
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2021-Q1,3450414.7
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2021-Q2,3492260.1
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2021-Q3,3614389.3
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA_EXPENDITURE_USD(1.1),I,Q,Y,FRA,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,LA,T0102,2021-Q4,3677355.5
