FREQ,REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
M,CN,628,2020-07,127.91322
M,CN,628,2020-08,128.42834
M,CN,628,2020-09,128.681811
M,CN,628,2020-10,128.297516
M,CN,628,2020-11,127.528924
M,CN,628,2020-12,128.420163
M,CN,628,2021-01,129.703874
M,CN,628,2021-02,130.480642
M,CN,628,2021-03,129.826522
M,CN,628,2021-04,129.442226
M,CN,628,2021-05,129.180578
M,CN,628,2021-06,128.665458
M,CN,628,2021-07,129.049754
M,CN,628,2021-08,129.180578
M,CN,628,2021-09,129.180578
M,CN,628,2021-10,130.079993
M,CN,628,2021-11,130.60329
M,CN,628,2021-12,130.210818
M,CN,628,2022-01,130.734114
M,CN,628,2022-02,131.519058
M,CN,628,2022-03,131.519058
M,CN,628,2022-04,132.042354
M,CN,628,2022-05,131.780706
M,CN,628,2022-06,131.878824
M,CN,628,2022-07,132.532944
M,CN,628,2022-08,132.410297
M,CN,628,2022-09,132.794593
M,CN,628,2022-10,132.810946
M,CN,628,2022-11,132.696475
M,CN,628,2022-12,132.557474
M,CN,628,2023-01,133.473242
M,CN,628,2023-02,132.835475
M,CN,628,2023-03,132.434826
M,CN,628,2023-04,132.173178
M,CN,628,2023-05,132.042354
M,CN,628,2023-06,131.878824
M,CN,628,2023-07,132.132296
M,CN,628,2023-08,132.541121
M,CN,628,2023-09,132.794593
M,CN,628,2023-10,132.549298
M,CN,628,2023-11,132.034178
M,CN,628,2023-12,132.156825
M,CN,628,2024-01,132.40212
M,CN,628,2024-02,133.767597
M,CN,628,2024-03,132.565651
M,CN,628,2024-04,132.565651
M,CN,628,2024-05,132.434826
M,CN,628,2024-06,132.140472
M,CN,628,2024-07,132.794593
M,CN,628,2024-08,133.336368
M,CN,628,2024-09,133.325738
M,CN,628,2024-10,132.946921
M,CN,628,2024-11,132.298279
M,CN,628,2024-12,132.288958
M,CN,628,2025-01,133.064131
M,CN,628,2025-02,132.831223
M,CN,628,2025-03,132.433085
M,CN,628,2025-04,132.437132
M,CN,628,2025-05,132.306047
M,CN,628,2025-06,132.274724
M,CN,628,2025-07,132.792957
M,CN,628,2025-08,132.803022
M,CN,628,2025-09,132.925794
