FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,CN,N,A,M,770,A,2013-Q3,128.6
Q,CN,N,A,M,770,A,2013-Q4,129.2
Q,CN,N,A,M,770,A,2014-Q1,132.7
Q,CN,N,A,M,770,A,2014-Q2,135.2
Q,CN,N,A,M,770,A,2014-Q3,135.3
Q,CN,N,A,M,770,A,2014-Q4,136.8
Q,CN,N,A,M,770,A,2015-Q1,140.3
Q,CN,N,A,M,770,A,2015-Q2,142.2
Q,CN,N,A,M,770,A,2015-Q3,144.6
Q,CN,N,A,M,770,A,2015-Q4,148.6
Q,CN,N,A,M,770,A,2016-Q1,151.8
Q,CN,N,A,M,770,A,2016-Q2,149.1
Q,CN,N,A,M,770,A,2016-Q3,146.5
Q,CN,N,A,M,770,A,2016-Q4,145.1
Q,CN,N,A,M,770,A,2017-Q1,144.6
Q,CN,N,A,M,770,A,2017-Q2,141.0
Q,CN,N,A,M,770,A,2017-Q3,138.1
Q,CN,N,A,M,770,A,2017-Q4,135.2
Q,CN,N,A,M,770,A,2018-Q1,134.6
Q,CN,N,A,M,770,A,2018-Q2,132.0
Q,CN,N,A,M,770,A,2018-Q3,129.1
Q,CN,N,A,M,770,A,2018-Q4,126.7
Q,CN,N,A,M,770,A,2019-Q1,128.9
Q,CN,N,A,M,770,A,2019-Q2,127.6
Q,CN,N,A,M,770,A,2019-Q3,126.7
Q,CN,N,A,M,770,A,2019-Q4,125.5
Q,CN,N,A,M,770,A,2020-Q1,133.4
Q,CN,N,A,M,770,A,2020-Q2,136.2
Q,CN,N,A,M,770,A,2020-Q3,135.6
Q,CN,N,A,M,770,A,2020-Q4,133.0
Q,CN,N,A,M,770,A,2021-Q1,131.4
Q,CN,N,A,M,770,A,2021-Q2,129.0
Q,CN,N,A,M,770,A,2021-Q3,127.1
Q,CN,N,A,M,770,A,2021-Q4,124.5
Q,CN,N,A,M,770,A,2022-Q1,127.7
Q,CN,N,A,M,770,A,2022-Q2,129.2
Q,CN,N,A,M,770,A,2022-Q3,129.5
Q,CN,N,A,M,770,A,2022-Q4,129.3
Q,CN,N,A,M,770,A,2023-Q1,134.6
Q,CN,N,A,M,770,A,2023-Q2,135.0
Q,CN,N,A,M,770,A,2023-Q3,135.4
Q,CN,N,A,M,770,A,2023-Q4,134.7
Q,CN,N,A,M,770,A,2024-Q1,139.0
Q,CN,N,A,M,770,A,2024-Q2,139.1
Q,CN,N,A,M,770,A,2024-Q3,139.4
Q,CN,N,A,M,770,A,2024-Q4,138.1
Q,CN,N,A,M,770,A,2025-Q1,141.8
Q,CN,N,A,M,770,A,2025-Q2,142.0
Q,FR,N,A,M,770,A,2007-Q1,111.1
Q,FR,N,A,M,770,A,2007-Q2,112.6
Q,FR,N,A,M,770,A,2007-Q3,112.9
Q,FR,N,A,M,770,A,2007-Q4,112.3
Q,FR,N,A,M,770,A,2008-Q1,112.7
Q,FR,N,A,M,770,A,2008-Q2,115.0
Q,FR,N,A,M,770,A,2008-Q3,116.7
Q,FR,N,A,M,770,A,2008-Q4,117.2
Q,FR,N,A,M,770,A,2009-Q1,118.6
Q,FR,N,A,M,770,A,2009-Q2,120.0
Q,FR,N,A,M,770,A,2009-Q3,120.6
Q,FR,N,A,M,770,A,2009-Q4,120.6
Q,FR,N,A,M,770,A,2010-Q1,120.3
Q,FR,N,A,M,770,A,2010-Q2,119.5
Q,FR,N,A,M,770,A,2010-Q3,119.0
Q,FR,N,A,M,770,A,2010-Q4,119.7
Q,FR,N,A,M,770,A,2011-Q1,120.0
Q,FR,N,A,M,770,A,2011-Q2,122.1
Q,FR,N,A,M,770,A,2011-Q3,124.2
Q,FR,N,A,M,770,A,2011-Q4,125.2
Q,FR,N,A,M,770,A,2012-Q1,127.2
Q,FR,N,A,M,770,A,2012-Q2,129.1
Q,FR,N,A,M,770,A,2012-Q3,129.3
Q,FR,N,A,M,770,A,2012-Q4,129.3
Q,FR,N,A,M,770,A,2013-Q1,129.0
Q,FR,N,A,M,770,A,2013-Q2,127.3
Q,FR,N,A,M,770,A,2013-Q3,127.4
Q,FR,N,A,M,770,A,2013-Q4,126.8
Q,FR,N,A,M,770,A,2014-Q1,128.5
Q,FR,N,A,M,770,A,2014-Q2,130.7
Q,FR,N,A,M,770,A,2014-Q3,132.0
Q,FR,N,A,M,770,A,2014-Q4,132.9
Q,FR,N,A,M,770,A,2015-Q1,135.6
Q,FR,N,A,M,770,A,2015-Q2,135.7
Q,FR,N,A,M,770,A,2015-Q3,136.1
Q,FR,N,A,M,770,A,2015-Q4,137.8
Q,FR,N,A,M,770,A,2016-Q1,137.2
Q,FR,N,A,M,770,A,2016-Q2,139.2
Q,FR,N,A,M,770,A,2016-Q3,139.9
Q,FR,N,A,M,770,A,2016-Q4,140.8
Q,FR,N,A,M,770,A,2017-Q1,142.8
Q,FR,N,A,M,770,A,2017-Q2,142.6
Q,FR,N,A,M,770,A,2017-Q3,142.2
Q,FR,N,A,M,770,A,2017-Q4,142.1
Q,FR,N,A,M,770,A,2018-Q1,143.3
Q,FR,N,A,M,770,A,2018-Q2,144.8
Q,FR,N,A,M,770,A,2018-Q3,145.4
Q,FR,N,A,M,770,A,2018-Q4,145.4
Q,FR,N,A,M,770,A,2019-Q1,147.6
Q,FR,N,A,M,770,A,2019-Q2,148.8
Q,FR,N,A,M,770,A,2019-Q3,150.2
Q,FR,N,A,M,770,A,2019-Q4,149.8
Q,FR,N,A,M,770,A,2020-Q1,153.2
Q,FR,N,A,M,770,A,2020-Q2,165.6
Q,FR,N,A,M,770,A,2020-Q3,168.7
Q,FR,N,A,M,770,A,2020-Q4,171.5
Q,FR,N,A,M,770,A,2021-Q1,169.8
Q,FR,N,A,M,770,A,2021-Q2,164.4
Q,FR,N,A,M,770,A,2021-Q3,162.3
