FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,FR,H,A,M,770,A,2013-Q3,56.0
Q,FR,H,A,M,770,A,2013-Q4,56.0
Q,FR,H,A,M,770,A,2014-Q1,56.2
Q,FR,H,A,M,770,A,2014-Q2,56.3
Q,FR,H,A,M,770,A,2014-Q3,56.3
Q,FR,H,A,M,770,A,2014-Q4,56.4
Q,FR,H,A,M,770,A,2015-Q1,56.2
Q,FR,H,A,M,770,A,2015-Q2,56.4
Q,FR,H,A,M,770,A,2015-Q3,56.7
Q,FR,H,A,M,770,A,2015-Q4,56.9
Q,FR,H,A,M,770,A,2016-Q1,56.5
Q,FR,H,A,M,770,A,2016-Q2,56.9
Q,FR,H,A,M,770,A,2016-Q3,57.4
Q,FR,H,A,M,770,A,2016-Q4,58.2
Q,FR,H,A,M,770,A,2017-Q1,58.3
Q,FR,H,A,M,770,A,2017-Q2,58.8
Q,FR,H,A,M,770,A,2017-Q3,59.0
Q,FR,H,A,M,770,A,2017-Q4,59.4
Q,FR,H,A,M,770,A,2018-Q1,59.4
Q,FR,H,A,M,770,A,2018-Q2,59.9
Q,FR,H,A,M,770,A,2018-Q3,60.3
Q,FR,H,A,M,770,A,2018-Q4,60.8
Q,FR,H,A,M,770,A,2019-Q1,60.3
Q,FR,H,A,M,770,A,2019-Q2,60.9
Q,FR,H,A,M,770,A,2019-Q3,61.6
Q,FR,H,A,M,770,A,2019-Q4,62.3
Q,FR,H,A,M,770,A,2020-Q1,63.0
Q,FR,H,A,M,770,A,2020-Q2,65.5
Q,FR,H,A,M,770,A,2020-Q3,67.0
Q,FR,H,A,M,770,A,2020-Q4,68.2
Q,FR,H,A,M,770,A,2021-Q1,68.1
Q,FR,H,A,M,770,A,2021-Q2,66.9
Q,FR,H,A,M,770,A,2021-Q3,66.8
Q,FR,H,A,M,770,A,2021-Q4,66.5
Q,FR,H,A,M,770,A,2022-Q1,66.0
Q,FR,H,A,M,770,A,2022-Q2,66.2
Q,FR,H,A,M,770,A,2022-Q3,66.3
Q,FR,H,A,M,770,A,2022-Q4,65.9
Q,FR,H,A,M,770,A,2023-Q1,65.1
Q,FR,H,A,M,770,A,2023-Q2,64.2
Q,FR,H,A,M,770,A,2023-Q3,63.3
Q,FR,H,A,M,770,A,2023-Q4,62.4
Q,FR,H,A,M,770,A,2024-Q1,61.5
Q,FR,H,A,M,770,A,2024-Q2,61.1
Q,FR,H,A,M,770,A,2024-Q3,60.6
Q,FR,H,A,M,770,A,2024-Q4,60.5
Q,FR,H,A,M,770,A,2025-Q1,60.2
Q,FR,H,A,M,770,A,2025-Q2,60.0
Q,AU,H,A,M,770,A,2007-Q1,105.8
Q,AU,H,A,M,770,A,2007-Q2,108.3
Q,AU,H,A,M,770,A,2007-Q3,108.1
Q,AU,H,A,M,770,A,2007-Q4,109.2
Q,AU,H,A,M,770,A,2008-Q1,109.3
Q,AU,H,A,M,770,A,2008-Q2,110.0
Q,AU,H,A,M,770,A,2008-Q3,108.4
Q,AU,H,A,M,770,A,2008-Q4,107.3
Q,AU,H,A,M,770,A,2009-Q1,106.7
Q,AU,H,A,M,770,A,2009-Q2,108.4
Q,AU,H,A,M,770,A,2009-Q3,110.8
Q,AU,H,A,M,770,A,2009-Q4,112.2
Q,AU,H,A,M,770,A,2010-Q1,112.9
Q,AU,H,A,M,770,A,2010-Q2,112.9
Q,AU,H,A,M,770,A,2010-Q3,111.7
Q,AU,H,A,M,770,A,2010-Q4,111.1
Q,AU,H,A,M,770,A,2011-Q1,110.6
Q,AU,H,A,M,770,A,2011-Q2,110.7
Q,AU,H,A,M,770,A,2011-Q3,109.6
Q,AU,H,A,M,770,A,2011-Q4,109.0
Q,AU,H,A,M,770,A,2012-Q1,108.8
Q,AU,H,A,M,770,A,2012-Q2,109.5
Q,AU,H,A,M,770,A,2012-Q3,109.5
Q,AU,H,A,M,770,A,2012-Q4,109.9
Q,AU,H,A,M,770,A,2013-Q1,110.0
Q,AU,H,A,M,770,A,2013-Q2,111.6
Q,AU,H,A,M,770,A,2013-Q3,111.3
Q,AU,H,A,M,770,A,2013-Q4,112.2
Q,AU,H,A,M,770,A,2014-Q1,112.2
Q,AU,H,A,M,770,A,2014-Q2,113.7
Q,AU,H,A,M,770,A,2014-Q3,114.3
Q,AU,H,A,M,770,A,2014-Q4,115.9
Q,AU,H,A,M,770,A,2015-Q1,117.4
Q,AU,H,A,M,770,A,2015-Q2,119.7
Q,AU,H,A,M,770,A,2015-Q3,120.2
Q,AU,H,A,M,770,A,2015-Q4,121.0
Q,AU,H,A,M,770,A,2016-Q1,122.1
Q,AU,H,A,M,770,A,2016-Q2,123.5
Q,AU,H,A,M,770,A,2016-Q3,124.4
Q,AU,H,A,M,770,A,2016-Q4,123.8
Q,AU,H,A,M,770,A,2017-Q1,122.8
Q,AU,H,A,M,770,A,2017-Q2,123.0
Q,AU,H,A,M,770,A,2017-Q3,122.3
Q,AU,H,A,M,770,A,2017-Q4,123.0
Q,AU,H,A,M,770,A,2018-Q1,123.4
Q,AU,H,A,M,770,A,2018-Q2,123.3
Q,AU,H,A,M,770,A,2018-Q3,122.4
