FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,FR,P,A,M,770,A,2013-Q3,183.4
Q,FR,P,A,M,770,A,2013-Q4,182.8
Q,FR,P,A,M,770,A,2014-Q1,184.7
Q,FR,P,A,M,770,A,2014-Q2,187.0
Q,FR,P,A,M,770,A,2014-Q3,188.3
Q,FR,P,A,M,770,A,2014-Q4,189.3
Q,FR,P,A,M,770,A,2015-Q1,191.8
Q,FR,P,A,M,770,A,2015-Q2,192.1
Q,FR,P,A,M,770,A,2015-Q3,192.8
Q,FR,P,A,M,770,A,2015-Q4,194.7
Q,FR,P,A,M,770,A,2016-Q1,193.7
Q,FR,P,A,M,770,A,2016-Q2,196.1
Q,FR,P,A,M,770,A,2016-Q3,197.3
Q,FR,P,A,M,770,A,2016-Q4,199.0
Q,FR,P,A,M,770,A,2017-Q1,201.1
Q,FR,P,A,M,770,A,2017-Q2,201.4
Q,FR,P,A,M,770,A,2017-Q3,201.2
Q,FR,P,A,M,770,A,2017-Q4,201.5
Q,FR,P,A,M,770,A,2018-Q1,202.7
Q,FR,P,A,M,770,A,2018-Q2,204.7
Q,FR,P,A,M,770,A,2018-Q3,205.6
Q,FR,P,A,M,770,A,2018-Q4,206.2
Q,FR,P,A,M,770,A,2019-Q1,207.9
Q,FR,P,A,M,770,A,2019-Q2,209.7
Q,FR,P,A,M,770,A,2019-Q3,211.8
Q,FR,P,A,M,770,A,2019-Q4,212.0
Q,FR,P,A,M,770,A,2020-Q1,216.2
Q,FR,P,A,M,770,A,2020-Q2,231.1
Q,FR,P,A,M,770,A,2020-Q3,235.7
Q,FR,P,A,M,770,A,2020-Q4,239.7
Q,FR,P,A,M,770,A,2021-Q1,237.9
Q,FR,P,A,M,770,A,2021-Q2,231.3
Q,FR,P,A,M,770,A,2021-Q3,229.1
Q,FR,P,A,M,770,A,2021-Q4,227.8
Q,FR,P,A,M,770,A,2022-Q1,226.2
Q,FR,P,A,M,770,A,2022-Q2,225.3
Q,FR,P,A,M,770,A,2022-Q3,226.0
Q,FR,P,A,M,770,A,2022-Q4,224.9
Q,FR,P,A,M,770,A,2023-Q1,223.2
Q,FR,P,A,M,770,A,2023-Q2,220.4
Q,FR,P,A,M,770,A,2023-Q3,218.1
Q,FR,P,A,M,770,A,2023-Q4,216.6
Q,FR,P,A,M,770,A,2024-Q1,214.2
Q,FR,P,A,M,770,A,2024-Q2,214.3
Q,FR,P,A,M,770,A,2024-Q3,213.4
Q,FR,P,A,M,770,A,2024-Q4,213.8
Q,FR,P,A,M,770,A,2025-Q1,214.7
Q,FR,P,A,M,770,A,2025-Q2,214.9
Q,US,P,A,M,770,A,2007-Q1,164.9
Q,US,P,A,M,770,A,2007-Q2,167.5
Q,US,P,A,M,770,A,2007-Q3,169.2
Q,US,P,A,M,770,A,2007-Q4,170.6
Q,US,P,A,M,770,A,2008-Q1,171.4
Q,US,P,A,M,770,A,2008-Q2,171.2
Q,US,P,A,M,770,A,2008-Q3,172.0
Q,US,P,A,M,770,A,2008-Q4,170.7
Q,US,P,A,M,770,A,2009-Q1,170.3
Q,US,P,A,M,770,A,2009-Q2,170.9
Q,US,P,A,M,770,A,2009-Q3,171.1
Q,US,P,A,M,770,A,2009-Q4,169.5
Q,US,P,A,M,770,A,2010-Q1,167.5
Q,US,P,A,M,770,A,2010-Q2,165.0
Q,US,P,A,M,770,A,2010-Q3,162.9
Q,US,P,A,M,770,A,2010-Q4,160.7
Q,US,P,A,M,770,A,2011-Q1,159.0
