country,year,value,indicator
IND,2022,5.3,LUR
IND,2023,4.9,LUR
IND,2024,4.9,LUR
IND,2025,4.9,LUR
IND,2026,4.9,LUR
IND,2027,4.9,LUR
IND,2028,4.9,LUR
IND,2029,4.9,LUR
IND,2030,4.9,LUR
ITA,2007,6.2,LUR
ITA,2008,6.8,LUR
ITA,2009,7.9,LUR
ITA,2010,8.5,LUR
ITA,2011,8.6,LUR
ITA,2012,10.9,LUR
ITA,2013,12.4,LUR
ITA,2014,12.8,LUR
ITA,2015,12.0,LUR
ITA,2016,11.7,LUR
ITA,2017,11.3,LUR
ITA,2018,10.6,LUR
ITA,2019,9.9,LUR
ITA,2020,9.4,LUR
ITA,2021,9.5,LUR
ITA,2022,8.1,LUR
ITA,2023,7.7,LUR
ITA,2024,6.6,LUR
ITA,2025,6.7,LUR
ITA,2026,6.7,LUR
ITA,2027,6.8,LUR
ITA,2028,6.9,LUR
ITA,2029,6.8,LUR
ITA,2030,6.8,LUR
JPN,2007,3.8,LUR
JPN,2008,4.0,LUR
JPN,2009,5.1,LUR
JPN,2010,5.1,LUR
JPN,2011,4.6,LUR
JPN,2012,4.3,LUR
JPN,2013,4.0,LUR
JPN,2014,3.6,LUR
JPN,2015,3.4,LUR
JPN,2016,3.1,LUR
JPN,2017,2.8,LUR
JPN,2018,2.4,LUR
JPN,2019,2.4,LUR
JPN,2020,2.8,LUR
JPN,2021,2.8,LUR
JPN,2022,2.6,LUR
JPN,2023,2.6,LUR
JPN,2024,2.6,LUR
JPN,2025,2.6,LUR
JPN,2026,2.6,LUR
JPN,2027,2.6,LUR
JPN,2028,2.6,LUR
JPN,2029,2.6,LUR
JPN,2030,2.6,LUR
KOR,2007,3.3,LUR
KOR,2008,3.2,LUR
KOR,2009,3.6,LUR
KOR,2010,3.7,LUR
KOR,2011,3.4,LUR
KOR,2012,3.2,LUR
KOR,2013,3.1,LUR
KOR,2014,3.5,LUR
KOR,2015,3.6,LUR
KOR,2016,3.7,LUR
KOR,2017,3.7,LUR
KOR,2018,3.8,LUR
KOR,2019,3.8,LUR
KOR,2020,4.0,LUR
KOR,2021,3.7,LUR
KOR,2022,2.9,LUR
KOR,2023,2.7,LUR
KOR,2024,2.8,LUR
KOR,2025,3.0,LUR
KOR,2026,3.0,LUR
KOR,2027,2.9,LUR
KOR,2028,2.8,LUR
KOR,2029,2.8,LUR
KOR,2030,2.8,LUR
MEX,2007,3.7,LUR
MEX,2008,3.9,LUR
MEX,2009,5.4,LUR
MEX,2010,5.3,LUR
MEX,2011,5.2,LUR
MEX,2012,4.9,LUR
MEX,2013,4.9,LUR
MEX,2014,4.8,LUR
MEX,2015,4.3,LUR
MEX,2016,3.9,LUR
MEX,2017,3.4,LUR
MEX,2018,3.3,LUR
MEX,2019,3.5,LUR
MEX,2020,4.4,LUR
MEX,2021,4.1,LUR
MEX,2022,3.3,LUR
MEX,2023,2.8,LUR
MEX,2024,2.7,LUR
MEX,2025,2.9,LUR
MEX,2026,3.1,LUR
MEX,2027,3.0,LUR
MEX,2028,3.0,LUR
MEX,2029,3.0,LUR
