FREQ,EER_TYPE,EER_BASKET,REF_AREA,TIME_PERIOD,OBS_VALUE
M,R,N,KR,2021-08,99.75
M,R,N,KR,2021-09,98.81
M,R,N,KR,2021-10,98.69
M,R,N,KR,2021-11,99.32
M,R,N,KR,2021-12,99.66
M,R,N,KR,2022-01,98.92
M,R,N,KR,2022-02,98.69
M,R,N,KR,2022-03,97.78
M,R,N,KR,2022-04,98.68
M,R,N,KR,2022-05,97.72
M,R,N,KR,2022-06,97.56
M,R,N,KR,2022-07,97.37
M,R,N,KR,2022-08,95.8
M,R,N,KR,2022-09,92.74
M,R,N,KR,2022-10,91.39
M,R,N,KR,2022-11,93.72
M,R,N,KR,2022-12,95.99
M,R,N,KR,2023-01,98.6
M,R,N,KR,2023-02,96.55
M,R,N,KR,2023-03,94.45
M,R,N,KR,2023-04,92.1
M,R,N,KR,2023-05,92.73
M,R,N,KR,2023-06,95.29
M,R,N,KR,2023-07,95.56
M,R,N,KR,2023-08,94.39
M,R,N,KR,2023-09,95.05
M,R,N,KR,2023-10,94.76
M,R,N,KR,2023-11,96.69
M,R,N,KR,2023-12,95.34
M,R,N,KR,2024-01,94.3
M,R,N,KR,2024-02,94.92
M,R,N,KR,2024-03,94.47
M,R,N,KR,2024-04,92.81
M,R,N,KR,2024-05,92.91
M,R,N,KR,2024-06,92.04
M,R,N,KR,2024-07,91.81
M,R,N,KR,2024-08,92.05
M,R,N,KR,2024-09,92.73
M,R,N,KR,2024-10,91.96
M,R,N,KR,2024-11,91.08
M,R,N,KR,2024-12,88.98
M,R,N,KR,2025-01,89.51
M,R,N,KR,2025-02,89.12
M,R,N,KR,2025-03,86.82
M,R,N,KR,2025-04,85.79
M,R,N,KR,2025-05,87.81
M,R,N,KR,2025-06,88.39
M,R,N,KR,2025-07,87.52
M,R,N,KR,2025-08,86.95
M,R,N,KR,2025-09,86.92
M,R,N,KR,2025-10,85.87
M,R,N,KR,2025-11,84.37
M,R,N,KR,2025-12,83.93
M,R,N,KR,2026-01,84.72
M,R,N,JP,2007-01,97.73
M,R,N,JP,2007-02,96.6
M,R,N,JP,2007-03,98.83
M,R,N,JP,2007-04,96.16
M,R,N,JP,2007-05,94.51
M,R,N,JP,2007-06,92.8
M,R,N,JP,2007-07,92.43
M,R,N,JP,2007-08,97.38
M,R,N,JP,2007-09,97.69
M,R,N,JP,2007-10,95.11
M,R,N,JP,2007-11,97.87
M,R,N,JP,2007-12,97.49
M,R,N,JP,2008-01,101.14
M,R,N,JP,2008-02,100.62
M,R,N,JP,2008-03,104.89
M,R,N,JP,2008-04,101.98
M,R,N,JP,2008-05,101.48
M,R,N,JP,2008-06,98.76
M,R,N,JP,2008-07,98.0
M,R,N,JP,2008-08,98.99
M,R,N,JP,2008-09,104.66
