STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ACTIVITY,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-09,0.84825636192265
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-08,0.84825636192265
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-07,0.84825636192265
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-06,1.04166666666672
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-05,0.85308056872031
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-03,1.04166666666672
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2014-01,1.33971291866042
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2013-10,1.24282982791595
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2013-05,1.53994225216558
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2013-01,1.65369649805436
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2009-10,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,FRA,M,CP,GR,_Z,_Z,GY,2012-03,2.30171073094867
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,FRA,M,CP,GR,_Z,_Z,GY,2012-04,2.08720810084728
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,FRA,M,CP,GR,_Z,_Z,GY,2012-05,1.98285655272126
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2022-03,5.8765915768854
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2022-02,4.33070866141734
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2021-12,4.90981963927857
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2021-11,4.81444332998997
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2012-01,2.0854021847071
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2011-09,2.39760239760229
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2011-07,2.09790209790204
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2011-05,2.00200200200198
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2011-03,2.00200200200198
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2011-02,1.91146881287716
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2010-09,1.21334681496472
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2010-08,1.00806451612914
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2010-07,1.11111111111117
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2010-04,1.21457489878531
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2010-02,0.505561172902036
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2009-02,1.12474437627816
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2008-10,2.38095238095244
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2008-08,3.11850311850308
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2008-02,2.83911671924288
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2007-10,2.76595744680843
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2007-09,2.66240681576153
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2025-12,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,G1,2025-06,0.0
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2010-11,1.51821862348176
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2010-10,1.31445904954506
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2010-06,0.909090909090837
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2010-03,1.21580547112452
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2010-01,0.712105798575791
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2009-12,0.809716599190247
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2009-11,0.406504065040703
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2009-07,-0.502512562814061
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2009-04,0.713557594291547
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2009-03,0.406917599186207
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),I,DEU,M,CP,GR,_Z,_Z,GY,2009-01,0.924024640657128
