FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,CG_DTYPE,TIME_PERIOD,OBS_VALUE
Q,CN,P,A,C,2018-Q1,1.1
Q,CN,P,A,C,2018-Q2,-2.0
Q,CN,P,A,C,2018-Q3,-4.9
Q,CN,P,A,C,2018-Q4,-7.6
Q,CN,P,A,C,2019-Q1,-5.5
Q,CN,P,A,C,2019-Q2,-6.8
Q,CN,P,A,C,2019-Q3,-7.6
Q,CN,P,A,C,2019-Q4,-8.8
Q,CN,P,A,C,2020-Q1,-0.2
Q,CN,P,A,C,2020-Q2,2.9
Q,CN,P,A,C,2020-Q3,2.6
Q,CN,P,A,C,2020-Q4,-0.7
Q,CN,P,A,C,2021-Q1,-3.9
Q,CN,P,A,C,2021-Q2,-7.3
Q,CN,P,A,C,2021-Q3,-9.8
Q,CN,P,A,C,2021-Q4,-13.2
Q,CN,P,A,C,2022-Q1,-10.8
Q,CN,P,A,C,2022-Q2,-9.7
Q,CN,P,A,C,2022-Q3,-9.9
Q,CN,P,A,C,2022-Q4,-10.9
Q,CN,P,A,C,2023-Q1,-5.8
Q,CN,P,A,C,2023-Q2,-6.4
Q,CN,P,A,C,2023-Q3,-6.7
Q,CN,P,A,C,2023-Q4,-8.4
Q,CN,P,A,C,2024-Q1,-4.5
Q,CN,P,A,C,2024-Q2,-5.8
Q,CN,P,A,C,2024-Q3,-6.6
Q,CN,P,A,C,2024-Q4,-8.6
Q,CN,P,A,C,2025-Q1,-5.6
Q,CN,P,A,C,2025-Q2,-6.7
Q,DE,P,A,B,2007-Q1,151.6
Q,DE,P,A,B,2007-Q2,151.7
Q,DE,P,A,B,2007-Q3,151.6
Q,DE,P,A,B,2007-Q4,151.6
Q,DE,P,A,B,2008-Q1,151.5
Q,DE,P,A,B,2008-Q2,151.5
Q,DE,P,A,B,2008-Q3,151.4
Q,DE,P,A,B,2008-Q4,151.4
Q,DE,P,A,B,2009-Q1,151.5
Q,DE,P,A,B,2009-Q2,151.6
Q,DE,P,A,B,2009-Q3,151.7
Q,DE,P,A,B,2009-Q4,151.9
Q,DE,P,A,B,2010-Q1,151.9
Q,DE,P,A,B,2010-Q2,151.9
Q,DE,P,A,B,2010-Q3,151.8
Q,DE,P,A,B,2010-Q4,151.7
Q,DE,P,A,B,2011-Q1,151.3
Q,DE,P,A,B,2011-Q2,150.8
Q,DE,P,A,B,2011-Q3,150.4
Q,DE,P,A,B,2011-Q4,150.0
Q,DE,P,A,B,2012-Q1,149.6
Q,DE,P,A,B,2012-Q2,149.2
Q,DE,P,A,B,2012-Q3,148.8
Q,DE,P,A,B,2012-Q4,148.4
Q,DE,P,A,B,2013-Q1,148.0
Q,DE,P,A,B,2013-Q2,147.7
Q,DE,P,A,B,2013-Q3,147.4
Q,DE,P,A,B,2013-Q4,147.1
Q,DE,P,A,B,2014-Q1,146.7
Q,DE,P,A,B,2014-Q2,146.3
Q,DE,P,A,B,2014-Q3,145.9
Q,DE,P,A,B,2014-Q4,145.3
Q,DE,P,A,B,2015-Q1,144.7
Q,DE,P,A,B,2015-Q2,144.1
Q,DE,P,A,B,2015-Q3,143.5
Q,DE,P,A,B,2015-Q4,143.0
Q,DE,P,A,B,2016-Q1,142.5
Q,DE,P,A,B,2016-Q2,142.0
Q,DE,P,A,B,2016-Q3,141.6
Q,DE,P,A,B,2016-Q4,141.2
Q,DE,P,A,B,2017-Q1,140.8
Q,DE,P,A,B,2017-Q2,140.4
Q,DE,P,A,B,2017-Q3,140.0
Q,DE,P,A,B,2017-Q4,139.6
Q,DE,P,A,B,2018-Q1,139.2
Q,DE,P,A,B,2018-Q2,138.9
Q,DE,P,A,B,2018-Q3,138.6
Q,DE,P,A,B,2018-Q4,138.3
Q,DE,P,A,B,2019-Q1,138.1
Q,DE,P,A,B,2019-Q2,137.9
Q,DE,P,A,B,2019-Q3,137.8
Q,DE,P,A,B,2019-Q4,137.7
Q,DE,P,A,B,2020-Q1,137.7
Q,DE,P,A,B,2020-Q2,137.9
Q,DE,P,A,B,2020-Q3,138.3
Q,DE,P,A,B,2020-Q4,138.8
Q,DE,P,A,B,2021-Q1,139.4
Q,DE,P,A,B,2021-Q2,139.9
Q,DE,P,A,B,2021-Q3,140.3
Q,DE,P,A,B,2021-Q4,140.7
Q,DE,P,A,B,2022-Q1,141.0
Q,DE,P,A,B,2022-Q2,141.3
Q,DE,P,A,B,2022-Q3,141.6
Q,DE,P,A,B,2022-Q4,141.9
Q,DE,P,A,B,2023-Q1,142.0
Q,DE,P,A,B,2023-Q2,142.1
Q,DE,P,A,B,2023-Q3,142.0
Q,DE,P,A,B,2023-Q4,141.9
Q,DE,P,A,B,2024-Q1,141.8
Q,DE,P,A,B,2024-Q2,141.7
Q,DE,P,A,B,2024-Q3,141.5
Q,DE,P,A,B,2024-Q4,141.4
Q,DE,P,A,B,2025-Q1,141.3
Q,DE,P,A,B,2025-Q2,141.2
Q,JP,P,A,C,2007-Q1,-16.3
Q,JP,P,A,C,2007-Q2,-17.9
Q,JP,P,A,C,2007-Q3,-15.9
Q,JP,P,A,C,2007-Q4,-13.5
Q,JP,P,A,C,2008-Q1,-14.0
Q,JP,P,A,C,2008-Q2,-10.6
Q,JP,P,A,C,2008-Q3,-8.9
Q,JP,P,A,C,2008-Q4,-3.9
Q,JP,P,A,C,2009-Q1,-1.6
Q,JP,P,A,C,2009-Q2,0.7
Q,JP,P,A,C,2009-Q3,3.0
Q,JP,P,A,C,2009-Q4,4.5
Q,JP,P,A,C,2010-Q1,1.8
Q,JP,P,A,C,2010-Q2,0.6
Q,JP,P,A,C,2010-Q3,-1.1
Q,JP,P,A,C,2010-Q4,-2.0
Q,JP,P,A,C,2011-Q1,-2.3
Q,JP,P,A,C,2011-Q2,-1.7
Q,JP,P,A,C,2011-Q3,-0.2
Q,JP,P,A,C,2011-Q4,0.7
Q,JP,P,A,C,2012-Q1,0.2
Q,JP,P,A,C,2012-Q2,-2.2
Q,JP,P,A,C,2012-Q3,-0.4
Q,JP,P,A,C,2012-Q4,1.3
Q,JP,P,A,C,2013-Q1,1.9
Q,JP,P,A,C,2013-Q2,1.2
Q,JP,P,A,C,2013-Q3,1.4
Q,JP,P,A,C,2013-Q4,2.0
Q,JP,P,A,C,2014-Q1,1.4
Q,JP,P,A,C,2014-Q2,0.2
Q,JP,P,A,C,2014-Q3,1.0
Q,JP,P,A,C,2014-Q4,2.2
Q,JP,P,A,C,2015-Q1,1.4
Q,JP,P,A,C,2015-Q2,-0.4
Q,JP,P,A,C,2015-Q3,-0.5
Q,JP,P,A,C,2015-Q4,0.4
